Major paragraph headings,Sub Section,Heritage BU,Portfolio?,Common process/ contact details,New content for MF Support Handbook (same terminology),Linked to a project,Project Owner,Project Delivery date
Additional Support Options Available,Premium Service,NQ,,Yes,"When your IT environment is truly business-critical, you need to be sure you can get help quickly from people who understand your environment and business needs. You can get that extra assurance with Premium Service, available to help you get the most from your IT investment.

Premium Service Engineers - Assigned, Primary or Dedicated Support Engineers (ASE, PSE, DSE) give you access to a named engineer with faster response times and increased levels of dedicated support; includes Service Account Management

Advantage Service Request Packs - Access to a team of senior in-region support engineers for business-hours access to technical support (note: may not be available in all countries)

On-site Support - Services to assist with technical issues at your site

Scheduled Stand-by - Remote assistance with scheduled work such as upgrades and migrations; sold in four-hour blocks and includes one planning call

Health Checks - A proactive, in-depth analysis of your environment by a senior engineer to provide you with feedback on how to optimize your system and ensure a stable, well-managed environment.",,,
Additional Support Options Available,Premium Service,NQ-New,,Yes,"When your IT environment is truly business-critical, you need to be sure you can get help quickly from people who understand your environment and business needs. You can get that extra assurance with Premium Service, available to help you get the most from your IT investment.

Premium Service Engineers - Assigned, Primary or Dedicated Support Engineers (ASE, PSE, DSE) give you access to a named engineer with faster response times and increased levels of dedicated support; includes Service Account Management

Advantage Service Request Packs - Access to a team of senior in-region support engineers for business-hours access to technical support (note: may not be available in all countries)

On-site Support - Services to assist with technical issues at your site

Scheduled Stand-by - Remote assistance with scheduled work such as upgrades and migrations; sold in four-hour blocks and includes one planning call

Health Checks - A proactive, in-depth analysis of your environment by a senior engineer to provide you with feedback on how to optimize your system and ensure a stable, well-managed environment.",,,
Additional Support Options Available,Long Term Service Pack Support,AQ,,Yes,"If you need support for older versions while you plan your migration to the latest version, Attachmate offers the Lifeline Support Program (LSP). LSP enables maintained customers to buy interactive technical support and limited product defect support, consisting of commercially reasonable effort using generally accepted industry standards and practices to resolve the situation or find an acceptable workaround. LSP is available on Retired or Discontinued eligible product versions of EXTRA!, INFOConnect, and Reflection. ",,,
Additional Support Options Available,Long Term Service Pack Support,NV,,Yes,Extended Support Service Request Packs are available on some products.,,,
Additional Support Options Available,Long Term Service Pack Support,NQ,,No,,,,
Additional Support Options Available,Long Term Service Pack Support,NQ-New,,Yes,Extended Support Service Request Packs are available on some products.,,,
Additional Support Options Available,SUSE Linux Enterprise Server with Expanded Support,Yes,,Yes,Currently we offer Extended care or Advice and Avoidance maintenance options,,,
Additional Support Options Available,Technical Subscriptions,No,,No,Don't offer this service,,,
Additional Support Options Available,Technical Subscriptions,NV,,Yes,"Technical subscriptions are the ultimate resource for IT professionals. A comprehensive collection of the technical resources you need to keep your systems updated, get training on your products, and troubleshoot even the toughest of technical issues. Technical Subscriptions are delivered monthly on CDs and DVDs, providing you access anytime, anywhere. You can also access the same resources anytime through the Subscriber portal. Compare available subscriptions, activate your subscription, manage usage, and access the subscriber portal to make the most of this valuable resource.

Purchase technical support, in 5 Service Request increments, for a product that has moved out of General Support to the Extended Support product support lifecycle phase. You must be current on your maintenance coverage for the replacement product in order to purchase.",,,
Additional Support Options Available,Technical Subscriptions,AQ,,Yes,Technical Notes are published on www.attachmate.com on a regular basis,,,
Additional Support Options Available,Technical Subscriptions,NQ,,No,,,,
Additional Support Options Available,Technical Subscriptions,NQ-New,,Yes,Only for the Heritage Novell products and it would follow the Novell content above.,,,
Additional Support Options Available,Consulting,Yes,,Yes,email: consulting@microfocus.com,,,
Additional Support Options Available,Consulting,NV,,Yes,"By engaging Consulting and our partners, you can leverage your investment, meet budgetary constraints and stay ahead of the competition. The Consulting team can ensure your solution works the best way possible for your business needs, using industry best practices, so that you have fewer support issues.",,,
Additional Support Options Available,Consulting,AQ,,Yes,"For issues and projects outside the scope of Technical Support, you can engage our technical experts to help you implement solutions quickly and affordably. Whether your project would benefit from an on-site consultant or a remotely-based consultant, we can help you design and implement cost-effective and secure solutions that meet your business priorities. We also offer custom training to meet your specific knowledge-transfer needs.",,,
Additional Support Options Available,Consulting,NQ,,No,,,,
Additional Support Options Available,Consulting,NQ-New,,Yes,Only for the Heritage Novell products and it would follow the Novell content above.,,,
Additional Support Options Available,Training,Yes,,Yes,emai: EducationServices@microfocus.com,,,
Additional Support Options Available,Training,NV,,Yes,"Get the most from your product investment by training your staff to leverage features that will help you stay ahead of the competition, and by ensuring your environment is optimized and stable when managed by knowledgeable staff.",,,
Additional Support Options Available,Training,AQ,,Yes,"Product experts provide an in-depth understanding of the features and functions of Attachmate products for administrators and users and how to apply them in your environment.  For information about training, please contact your Sales Representative, or visit our web site at http://www.attachmate.com/Support/services/Training.htm.",,,
Additional Support Options Available,Training,NQ,,Yes,"Get the most from your product investment by training your staff to leverage features that will help you stay ahead of the competition, and by ensuring your environment is optimized and stable when managed by knowledgeable staff.",,,
Additional Support Options Available,Training,NQ-New,,Yes,"Get the most from your product investment by training your staff to leverage features that will help you stay ahead of the competition, and by ensuring your environment is optimized and stable when managed by knowledgeable staff.",,,
For More Information,,,,,,,,
For More Information,,NV,,Yes,"If you have a question, view Frequently Asked Questions to see if we have an answer. For more information about technical support, training and consulting, contact your local sales representative or partner, or visit: www.novell.com/services

All Technical Support packages expire 12 months after date of purchase.",,,
For+A155:H156 More Information,,NQ,,Yes,"If you have a question, view Frequently Asked Questions to see if we have an answer. For more information about technical support, training and consulting, contact your local sales representative or partner, or visit: www.netiq.com/services

All Technical Support packages expire 12 months after date of purchase.",,,
For More Information,,NQ-New,,Yes,"If you have a question, view Frequently Asked Questions to see if we have an answer. For more information about technical support, training and consulting, contact your local sales representative or partner, or visit: www.novell.com/services

All Technical Support packages expire 12 months after date of purchase.",,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
